Review_ID,Review_Text,Review_Title,Rating,Review_Date,Verified_Purchase,Product_ID,Product_Name,Category,Subcategory,Brand,Price,Features,Customer_ID,Customer_Name,Age_Group,Location,Purchase_History,Helpful_Votes,Comments_Count,Media_URLs,Sentiment_Label,Aspect_Sentiments
REV_000000,"Outstanding product! I've been looking for something like this for a while and this one is perfect. The quality is excellent, the price is fair, and the customer service was great. I would definitely buy from this brand again. Highly recommended!",Love it!,4,2024-05-07,False,PROD_019,LEGO Creator Expert Assembly Square,Toys & Games,Building Sets,LEGO,279.99,"4002 pieces, Modular building, Collectible",CUST_0066,Customer_67,18-25,Los Angeles,Regular,4,0,,Positive,"{""fun_factor"": ""positive"", ""quality"": ""positive"", ""educational_value"": ""positive"", ""durability"": ""positive"", ""value"": ""positive""}"
REV_000001,The Levi's 501 Original Jeans is terrible! The quality is awful and it's definitely not worth the price. It arrived damaged and doesn't function properly. The materials feel cheap and it's poorly constructed. I regret this purchase completely.,Very disappointed,2,2025-08-28,False,PROD_008,Levi's 501 Original Jeans,Fashion,Jeans,Levi's,89.99,"Straight fit, 100% cotton, Classic style",CUST_0033,Customer_34,65+,Seattle,Regular,3,0,,Negative,"{""fit"": ""negative"", ""style"": ""negative"", ""comfort"": ""negative"", ""durability"": ""negative"", ""material"": ""negative""}"
REV_000002,The Dyson V15 Detect is absolutely fantastic! The quality is outstanding and it works exactly as described. I've been using it for a while now and couldn't be happier with my purchase. The build quality is excellent and it's definitely worth the price. I would highly recommend this to anyone looking for a reliable product.,Exceeded my expectations,5,2025-01-22,True,PROD_011,Dyson V15 Detect,Home & Garden,Vacuum Cleaners,Dyson,749.99,"Laser dust detection, 60-minute runtime, HEPA filtration",CUST_0096,Customer_97,18-25,Denver,New Customer,2,0,,Positive,"{""functionality"": ""positive"", ""design"": ""positive"", ""ease_of_use"": ""positive"", ""durability"": ""positive"", ""value"": ""positive""}"
REV_000003,"This is an average product that works fine. The quality is decent and the price is reasonable. It's not going to blow your mind, but it's reliable and functional. It's a good choice if you're looking for something straightforward.",It's fine,3,2024-07-08,False,PROD_003,MacBook Pro 16-inch,Electronics,Laptops,Apple,2499.99,"M3 Pro chip, Liquid Retina XDR, 22-hour battery",CUST_0068,Customer_69,36-45,San Francisco,Regular,0,0,,Neutral,"{""performance"": ""neutral"", ""design"": ""neutral"", ""battery"": ""neutral"", ""camera"": ""neutral"", ""display"": ""neutral""}"
REV_000004,"Outstanding product! I've been looking for something like this for a while and this one is perfect. The quality is excellent, the price is fair, and the customer service was great. I would definitely buy from this brand again. Highly recommended!",Love it!,4,2024-03-20,False,PROD_003,MacBook Pro 16-inch,Electronics,Laptops,Apple,2499.99,"M3 Pro chip, Liquid Retina XDR, 22-hour battery",CUST_0031,Customer_32,65+,Charlotte,New Customer,3,0,,Positive,"{""performance"": ""positive"", ""design"": ""positive"", ""battery"": ""positive"", ""camera"": ""positive"", ""display"": ""positive""}"
REV_000005,"This product is okay. It works as expected and the quality is decent for the price point. Nothing particularly outstanding about it, but it gets the job done. The design is simple and functional. I would consider it a fair purchase.",Acceptable,3,2025-08-24,True,PROD_020,PlayStation 5 Console,Toys & Games,Gaming Consoles,Sony,499.99,"4K gaming, Ray tracing, SSD storage, DualSense controller",CUST_0083,Customer_84,46-55,San Francisco,Regular,0,0,https://example.com/review_videos/video1.mp4,Neutral,"{""fun_factor"": ""neutral"", ""quality"": ""neutral"", ""educational_value"": ""neutral"", ""durability"": ""neutral"", ""value"": ""neutral""}"
REV_000006,The Sony WH-1000XM5 is absolutely fantastic! The quality is outstanding and it works exactly as described. I've been using it for a while now and couldn't be happier with my purchase. The build quality is excellent and it's definitely worth the price. I would highly recommend this to anyone looking for a reliable product.,Exceeded my expectations,4,2025-04-29,False,PROD_005,Sony WH-1000XM5,Electronics,Headphones,Sony,399.99,"Noise canceling, 30-hour battery, LDAC codec",CUST_0033,Customer_34,65+,Seattle,Regular,3,0,,Positive,"{""performance"": ""positive"", ""design"": ""positive"", ""battery"": ""positive"", ""camera"": ""positive"", ""display"": ""positive""}"
REV_000007,The PlayStation 5 Console is terrible! The quality is awful and it's definitely not worth the price. It arrived damaged and doesn't function properly. The materials feel cheap and it's poorly constructed. I regret this purchase completely.,Don't recommend,1,2025-09-13,False,PROD_020,PlayStation 5 Console,Toys & Games,Gaming Consoles,Sony,499.99,"4K gaming, Ray tracing, SSD storage, DualSense controller",CUST_0026,Customer_27,65+,Austin,Regular,1,0,,Negative,"{""fun_factor"": ""negative"", ""quality"": ""negative"", ""educational_value"": ""negative"", ""durability"": ""negative"", ""value"": ""negative""}"
REV_000008,I'm really disappointed with this product. The quality is poor and it doesn't work as advertised. It broke after just a few uses and the customer service was unhelpful. I would not recommend this to anyone. Save your money and look elsewhere.,Terrible product,2,2024-01-13,False,PROD_017,Peloton Bike+,Sports & Outdoors,Exercise Equipment,Peloton,2495.0,"Interactive classes, 24-inch touchscreen, Auto-follow resistance",CUST_0062,Customer_63,26-35,San Diego,Frequent,3,0,,Negative,"{""performance"": ""negative"", ""comfort"": ""negative"", ""durability"": ""negative"", ""design"": ""negative"", ""value"": ""negative""}"
REV_000009,The Samsung Galaxy S24 Ultra is terrible! The quality is awful and it's definitely not worth the price. It arrived damaged and doesn't function properly. The materials feel cheap and it's poorly constructed. I regret this purchase completely.,Don't recommend,2,2025-07-24,False,PROD_002,Samsung Galaxy S24 Ultra,Electronics,Smartphones,Samsung,1299.99,"Snapdragon 8 Gen 3, 200MP camera, S Pen, AI features",CUST_0000,Customer_1,18-25,Dallas,Frequent,1,0,,Negative,"{""performance"": ""negative"", ""design"": ""negative"", ""battery"": ""negative"", ""camera"": ""negative"", ""display"": ""negative""}"
